"Table S1: Accession, taxonomy, isocyanide synthase count, and busco counts for all of the NCBI annotated genomes analyed for this study."											
											
Accession	ICS_Count	Kingdom	Phylum	Fungal_Class	Order	Family	Genus	Species	Buscos (out of 290)	BuscoScore	
GCA_000320785.2	0	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_toruloides	287	0.989655172	
GCA_000328475.2	0	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago_maydis	286	0.986206897	
GCA_000333975.2	0	Fungi	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis_jirovecii	212	0.731034483	
GCA_000334115.1	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_solani	186	0.64137931	
GCA_000334475.1	0	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Moesziomyces	Moesziomyces_antarcticus	268	0.924137931	
GCA_000344635.1	0	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Laetiporaceae	Wolfiporia	Wolfiporia_cocos	265	0.913793103	
GCA_000344655.2	0	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis_pinicola	281	0.968965517	
GCA_000344685.1	0	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum_trabeum	278	0.95862069	
GCA_000349005.2	0	Fungi	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis_murina	283	0.975862069	
GCA_000349305.2	0	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sympodialis	244	0.84137931	
GCA_000350255.1	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_solani	132	0.455172414	
GCA_000383075.1	0	Fungi	Microsporidia			Nosematidae	Nosema	Nosema_bombycis	141	0.486206897	
GCA_000385855.2	0	Fungi	Microsporidia			Tubulinosematidae	Anncaliia	Anncaliia_algerae	102	0.351724138	
GCA_000385875.2	0	Fungi	Microsporidia			Tubulinosematidae	Anncaliia	Anncaliia_algerae	218	0.751724138	
GCA_000389695.3	0	Fungi	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis	Ceratocystis_fimbriata	288	0.993103448	
GCA_000392275.1	0	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium_minimum	270	0.931034483	
GCA_000400465.1	0	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_ichthyophaga	270	0.931034483	
GCA_000401635.1	0	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_circinelloides	221	0.762068966	
GCA_000403515.1	0	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma_hubeiensis	270	0.931034483	
GCA_000410735.1	0	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Ophiostoma	Ophiostoma_piceae	280	0.965517241	
GCA_000417875.1	0	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma_flocculosa	285	0.982758621	
GCA_000418435.1	0	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria_graminis	266	0.917241379	
GCA_000430065.1	0	Fungi	Microsporidia			Spraguidae	Spraguea	Spraguea_lophii	251	0.865517241	
GCA_000439145.3	0	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus_irregularis	274	0.944827586	
GCA_000441935.1	0	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylellina	Dactylellina_haptotyla	280	0.965517241	
GCA_000442015.1	0	Fungi	Cryptomycota				Rozella	Rozella_allomycis	244	0.84137931	
GCA_000447185.1	0	Fungi	Microsporidia			Nosematidae	Nosema	Nosema_apis	148	0.510344828	
GCA_000469055.2	0	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Austropuccinia	Austropuccinia_psidii	276	0.951724138	
GCA_000474925.1	0	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix_schenckii	283	0.975862069	
GCA_000488995.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora_roreri	284	0.979310345	
GCA_000497045.1	0	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Kalmanozyma	Kalmanozyma_brasiliensis	286	0.986206897	
GCA_000503235.1	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	Sclerotinia_borealis	284	0.979310345	
GCA_000507405.3	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_heveanensis	280	0.965517241	
GCA_000507425.3	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_heveanensis	282	0.972413793	
GCA_000507465.3	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_mangrovensis	280	0.965517241	
GCA_000507485.3	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_mangrovensis	285	0.982758621	
GCA_000507885.2	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_mangrovensis	281	0.968965517	
GCA_000512565.2	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_dejecticola	278	0.95862069	
GCA_000512585.2	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	ManuallyGetSpecies	0	0	
GCA_000512605.2	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_pini	286	0.986206897	
GCA_000517465.1	0	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Moesziomyces	Moesziomyces_aphidis	256	0.882758621	
GCA_000524645.1	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_solani	264	0.910344828	
GCA_000525045.1	0	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella	Drechslerella_stenobrocha	205	0.706896552	
GCA_000576695.1	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Kuraishia	Kuraishia_capsulata	282	0.972413793	
GCA_000585515.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_yegresii	285	0.982758621	
GCA_000585585.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia_coronata	285	0.982758621	
GCA_000597685.1	0	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus_irregularis	186	0.64137931	
GCA_000695385.1	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_solani	168	0.579310345	
GCA_000697645.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	ManuallyGetSpecies	0	0	
GCA_000697665.1	0	Fungi	Basidiomycota	Agaricomycetes	Jaapiales	Jaapiaceae	Jaapia	Jaapia_argillacea	282	0.972413793	
GCA_000697685.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus_ostreatus	278	0.95862069	
GCA_000697705.1	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	Botryobasidium_botryosum	285	0.982758621	
GCA_000708205.1	0	Fungi	Basidiomycota	Mixiomycetes	Mixiales	Mixiaceae	Mixia	Mixia_osmundae	281	0.968965517	
GCA_000715385.1	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_solani	267	0.920689655	
GCA_000721755.1	0	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium_subglaciale	284	0.979310345	
GCA_000721775.1	0	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium_melanogenum	286	0.986206897	
GCA_000723665.1	0	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia	Lichtheimia_corymbifera	203	0.7	
GCA_000730325.1	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys_chartarum	285	0.982758621	
GCA_000732125.1	0	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	Scedosporium_apiospermum	241	0.831034483	
GCA_000732565.1	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys_chartarum	283	0.975862069	
GCA_000732765.1	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys_chartarum	286	0.986206897	
GCA_000732775.1	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys_chlorohalonata	281	0.968965517	
GCA_000738915.1	0	Fungi	Microsporidia				Nematocida	Nematocida_sp_1	237	0.817241379	
GCA_000739165.1	0	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_verticillata	244	0.84137931	
GCA_000743665.3	0	Fungi	Ascomycota	Leotiomycetes			Scytalidium	Scytalidium_sp_3C	122	0.420689655	
GCA_000747765.1	0	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Moesziomyces	Moesziomyces_antarcticus	277	0.955172414	
GCA_000750665.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F3557	238	0.820689655	
GCA_000750675.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F3808	251	0.865517241	
GCA_000750715.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F3775	185	0.637931034	
GCA_000750735.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4246	245	0.844827586	
GCA_000750745.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4281_FW2241	251	0.865517241	
GCA_000750755.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4513_FW928	251	0.865517241	
GCA_000750795.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4514_FW929	240	0.827586207	
GCA_000750815.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4516_FW969	261	0.9	
GCA_000750875.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4517_FW2822	259	0.893103448	
GCA_000750895.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F103	268	0.924137931	
GCA_000750925.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4518_FW2643	258	0.889655172	
GCA_000750935.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4519_FW2642	258	0.889655172	
GCA_000750995.1	0	Fungi	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_sp_VKM_F4520_FW2644	260	0.896551724	
GCA_000760515.2	0	Fungi	Microsporidia				Mitosporidium	Mitosporidium_daphniae	182	0.627586207	
GCA_000764455.1	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kudriavzevii	253	0.872413793	
GCA_000765035.1	0	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes_cinnabarina	250	0.862068966	
GCA_000785585.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_immunda	256	0.882758621	
GCA_000786625.1	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	ManuallyGetSpecies	0	0	
GCA_000798715.1	0	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_necator	259	0.893103448	
GCA_000803265.1	0	Fungi	Microsporidia			Ordosporidae	Ordospora	Ordospora_colligata	248	0.855172414	
GCA_000812125.1	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_ustus	5	0.017241379	
GCA_000813385.1	0	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Valsa	Valsa_mali	283	0.975862069	
GCA_000818155.1	0	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Valsa	Valsa_mali	285	0.982758621	
GCA_000820605.1	0	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix_brasiliensis	272	0.937931034	
GCA_000827185.1	0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Hydnomerulius	Hydnomerulius_pinastri	280	0.965517241	
GCA_000827195.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria_amethystina	280	0.965517241	
GCA_000827205.1	0	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis_crispa	282	0.972413793	
GCA_000827255.1	0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus_luteus	278	0.95862069	
GCA_000827275.1	0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Pisolithaceae	Pisolithus	Pisolithus_microcarpus	261	0.9	
GCA_000827315.1	0	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma_croceum	277	0.955172414	
GCA_000827335.1	0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Pisolithaceae	Pisolithus	Pisolithus_tinctorius	269	0.927586207	
GCA_000827355.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Hebeloma	Hebeloma_cylindrosporum	280	0.965517241	
GCA_000827395.1	0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	Paxillus_rubicundulus	281	0.968965517	
GCA_000827415.1	0	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita_vermifera	264	0.910344828	
GCA_000827425.1	0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma_citrinum	278	0.95862069	
GCA_000827465.1	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Tulasnellaceae	Tulasnella	Tulasnella_calospora	233	0.803448276	
GCA_000827475.1	0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	Paxillus_involutus	267	0.920689655	
GCA_000827485.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita_muscaria	284	0.979310345	
GCA_000827495.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	Hypholoma_sublateritium	283	0.975862069	
GCA_000832265.1	0	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phlebiopsis	Phlebiopsis_gigantea	281	0.968965517	
GCA_000832345.2	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_solani	265	0.913793103	
GCA_000835395.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_sideris	263	0.906896552	
GCA_000835495.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_immunda	262	0.903448276	
GCA_000835505.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_xenobiotica	268	0.924137931	
GCA_000835555.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella_mackenziei	283	0.975862069	
GCA_000835745.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_gattii_VGI	286	0.986206897	
GCA_000835755.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	ManuallyGetSpecies	0	0	
GCA_000835765.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	ManuallyGetSpecies	0	0	
GCA_000835815.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	ManuallyGetSpecies	0	0	
GCA_000836115.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_spinifera	285	0.982758621	
GCA_000836255.1	0	Fungi						fungal_sp_No11243	270	0.931034483	
GCA_000836275.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_mesophila	263	0.906896552	
GCA_000836295.1	0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Verruconis	Verruconis_gallopava	249	0.85862069	
GCA_000836315.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	ManuallyGetSpecies	0	0	
GCA_000836335.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	ManuallyGetSpecies	0	0	
GCA_000836355.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	ManuallyGetSpecies	0	0	
GCA_000836375.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	ManuallyGetSpecies	0	0	
GCA_000836435.1	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea_multimorphosa	288	0.993103448	
GCA_000836455.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_gattii_VGII	264	0.910344828	
GCA_000855695.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_gattii_VGIII	279	0.962068966	
GCA_000875795.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_gattii_VGII	265	0.913793103	
GCA_000875815.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	ManuallyGetSpecies	0	0	
GCA_000875855.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_gattii_VGII	265	0.913793103	
GCA_000934385.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Cylindrobasidium	Cylindrobasidium_torrendii	283	0.975862069	
GCA_000934395.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae	Fistulina	Fistulina_hepatica	273	0.94137931	
GCA_000935105.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_gattii_VGI	286	0.986206897	
GCA_000938895.1	0										
GCA_000945115.1	0	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia	Lichtheimia_ramosa	220	0.75862069	
GCA_000950595.1	0	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	ManuallyGetSpecies	0	0	
GCA_000961545.1	0	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix_schenckii	274	0.944827586	
GCA_000968595.1	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia_emersonii	267	0.920689655	
GCA_000976605.3	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	265	0.913793103	
GCA_000978885.1	0	Fungi	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis	Ceratocystis_platani	259	0.893103448	
GCA_000988165.1	0	Fungi	Microsporidia			Nosematidae	Nosema	Nosema_ceranae	257	0.886206897	
GCA_000988875.2	0	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_toruloides	287	0.989655172	
GCA_001020605.1	0	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Schizopora	Schizopora_paradoxa	279	0.962068966	
GCA_001027345.1	0	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_oleaginosum	280	0.965517241	
GCA_001078035.1	0	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon_cuniculi	254	0.875862069	
GCA_001191645.1	0	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia_striiformis	257	0.886206897	
GCA_001263195.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	Termitomyces_sp_J132	269	0.927586207	
GCA_001263375.1	0	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia_sorghi	259	0.893103448	
GCA_001272575.2	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps_unilateralis	275	0.948275862	
GCA_001278385.1	0	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_pachydermatis	273	0.94137931	
GCA_001286725.1	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_solani	241	0.831034483	
GCA_001329695.1	0	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_graminis	278	0.95862069	
GCA_001432165.1	0	Fungi	Microsporidia				Pseudoloma	Pseudoloma_neurophilia	192	0.662068966	
GCA_001447935.2	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_fabryi	282	0.972413793	
GCA_001466705.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora_roreri	261	0.9	
GCA_001466705.2	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora_roreri	271	0.934482759	
GCA_001477535.1	0	Fungi	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis_jirovecii	279	0.962068966	
GCA_001477545.1	0	Fungi	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis_carinii	283	0.975862069	
GCA_001481415.2	0	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Sanghuangporus	Sanghuangporus_baumii	258	0.889655172	
GCA_001511075.1	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_calidoustus	279	0.962068966	
GCA_001541205.1	0	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_sp_JG1b	279	0.962068966	
GCA_001563735.1	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_sp_SymCcos	254	0.875862069	
GCA_001566295.1	0	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium_bolleyi	283	0.975862069	
GCA_001566745.1	0	Fungi	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Ancylistaceae	Conidiobolus	ManuallyGetSpecies	0	0	
GCA_001574975.1	0	Fungi	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	Gonapodya_prolifera	258	0.889655172	
GCA_001592465.1	0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acidomyces	Acidomyces_sp_richmondensis	282	0.972413793	
GCA_001593125.1	0	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus_irregularis	272	0.937931034	
GCA_001593145.1	0	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus_irregularis	268	0.924137931	
GCA_001593155.1	0	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus_irregularis	276	0.951724138	
GCA_001593205.1	0	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus_irregularis	271	0.934482759	
GCA_001600855.1	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma_sp_JCM_24511	286	0.986206897	
GCA_001605315.2	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Hypsizygus	Hypsizygus_marmoreus	283	0.975862069	
GCA_001618945.2	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Drechmeria	ManuallyGetSpecies	0	0	
GCA_001630335.1	0	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Fibularhizoctonia	Fibularhizoctonia_sp_CBS_109695	252	0.868965517	
GCA_001630345.1	0	Fungi	Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Calocera	Calocera_viscosa	280	0.965517241	
GCA_001630475.1	0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales		Sistotremastrum	Sistotremastrum_niveocremeum	286	0.986206897	
GCA_001632345.1	0	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Daedalea	Daedalea_quercina	287	0.989655172	
GCA_001632355.1	0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales		Sistotremastrum	Sistotremastrum_suecicum	281	0.968965517	
GCA_001632365.1	0	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus_sulphureus	280	0.965517241	
